location_name,mean_drinks_male,mean_drinks _female,mean_drinks_perday,gdp_growth
Afghanistan,0.11,0.1,0.21,0.064764195
Albania,2.52,1.09,3.61,3.897740606
Algeria,0.3,0.28,0.58,-0.750456692
American Samoa,1.05,0.46,1.51,-6.783548017
Andorra,3.54,2.79,6.33,0.734439351
Angola,1.67,1.21,2.88,-3.412679365
Antigua and Barbuda,1.32,0.62,1.94,2.166114044
Argentina,2.56,2.49,5.05,1.757648183
Armenia,1.76,1.42,3.18,7.18452239
Australia,4.22,1.91,6.13,0.587161103
Austria,3.78,2.24,6.02,1.550724086
Azerbaijan,2.85,1.37,4.22,-0.778416126
Bahrain,0.57,0.53,1.1,-0.475473382
Bangladesh,0.03,0.06,0.09,5.449977297
Barbados,2.62,1.14,3.76,0.305025703
Belarus,5.14,2.98,8.12,2.644807522
Belgium,3.35,1.97,5.32,1.228866236
Belize,3.33,1.26,4.59,0.123938146
Benin,0.41,1.14,1.55,2.805281504
Bermuda,5.17,2.2,7.37,4.716102205
Bhutan,1.01,0.25,1.26,3.408611367
Bolivia,1.61,0.9,2.51,2.696155263
Bosnia and Herzegovina,5.14,1.76,6.9,4.240509852
Botswana,3.41,1.59,5,1.873881526
Brazil,2.79,1.43,4.22,0.50833798
Brunei,0.06,0.06,0.12,0.209044442
Bulgaria,3.58,1.45,5.03,3.515538335
Burkina Faso,2.2,1.66,3.86,3.177360753
Burundi,4.39,3.1,7.49,-2.646786671
Cambodia,4.55,1.59,6.14,5.372021624
Cameroon,2.49,2.02,4.51,0.845720712
Canada,2.74,2.45,5.19,1.811278917
Central African Republic,1.7,1.24,2.94,3.200452519
Chad,1.29,0.55,1.84,-5.928753132
Chile,2.64,2.49,5.13,-0.076550833
China,2.7,0.2,2.9,6.301863101
Colombia,3.09,1.08,4.17,-0.163409332
Comoros,0.03,0.21,0.24,1.482398722
Congo,1.94,1.28,3.22,0.401473698
Costa Rica,2.52,1.1,3.62,3.092566338
Cote d'Ivoire,1.85,0.73,2.58,4.658899564
Croatia,4.12,1.34,5.46,4.66317567
Cuba,2.26,1.03,3.29,1.771820723
Cyprus,3.46,0.93,4.39,4.872481058
Czech Republic,4.05,2.05,6.1,4.889722042
Denmark,3.84,2.62,6.46,2.162355113
Djibouti,0.39,0.32,0.71,3.784456748
Dominica,2.86,1.31,4.17,-6.818928775
Dominican Republic,2.19,1.19,3.38,3.518071155
Ecuador,3.98,1.14,5.12,0.573913174
Egypt,0.2,0.26,0.46,2.02557995
El Salvador,2.41,0.89,3.3,1.734694342
Equatorial Guinea,2.82,2.08,4.9,-9.167724698
Estonia,5.12,2.12,7.24,5.664039082
Ethiopia,1.19,0.58,1.77,6.684559618
Fiji,1.84,0.27,2.11,4.746549543
Finland,4.07,2.08,6.15,2.950531373
France,4.25,2.18,6.43,1.994998447
Gabon,2.21,1.61,3.82,-2.297541168
Georgia,3.57,0.46,4.03,4.828569855
Germany,3.1,2.26,5.36,2.297206047
Ghana,3.72,1.63,5.35,5.754348517
Greece,3.62,1.8,5.42,1.29229029
Greenland,2.12,1.83,3.95,0.079446435
Grenada,2.65,1.19,3.84,3.863139197
Guam,0.98,0.38,1.36,0.07146292
Guatemala,1.86,1.29,3.15,1.415648841
Guinea,0.17,0.14,0.31,7.292115937
Guinea-Bissau,1.25,0.99,2.24,3.270713428
Guyana,3.16,0.36,3.52,3.21852431
Haiti,2.47,0.79,3.26,1.18118263
Honduras,2.25,0.3,2.55,3.083615218
Hungary,4.47,1.64,6.11,4.546135601
