country_name,country_code,gdp_growth,tax_revenue,govt_expen,fdi
Africa Eastern and Southern,AFE,2.952845384,18.28698479,16.56213389,2.760357268
Angola,AGO,0.939999999,13.54263016,17.97565865,2.664964244
Albania,ALB,2.218726375,18.30193614,11.45186823,8.693038722
Arab World,ARB,3.052633634,5.350758603,18.86935035,1.087717473
United Arab Emirates,ARE,5.060334864,0.355723056,10.93186146,2.746344622
Argentina,ARG,2.731159828,12.61096661,16.94987574,0.96240665
Armenia,ARM,3.199999999,21.59917455,12.08585349,3.502114247
Australia,AUS,2.172204753,21.90856356,17.97494359,4.306815708
Austria,AUT,1.014501586,26.41789831,19.80284204,0.386858115
Azerbaijan,AZE,1.093975916,14.21253565,10.88587304,5.888108916
Belgium,BEL,2.041459009,26.13452545,24.23389585,-2.840147495
Burkina Faso,BFA,3.921228794,13.66382751,15.47477861,2.562551392
Bangladesh,BGD,6.552639879,8.635377737,5.337520757,1.468712877
Bulgaria,BGR,3.428054914,19.5660132,16.83265399,1.915839992
"Bahamas, The",BHS,0.996800846,11.24961292,11.98271311,2.248346282
Bosnia and Herzegovina,BIH,3.089162619,19.77790177,22.86104414,2.935566048
Belarus,BLR,-3.829570558,12.69772453,13.75426955,2.362529221
Belize,BLZ,2.894945154,25.33452172,15.24093077,8.416634329
Brazil,BRA,-3.545763393,13.49007452,19.15353871,3.571352613
Barbados,BRB,2.472620346,23.51704544,14.3479788,16.04838618
Bhutan,BTN,6.642232105,13.6986507,17.35050126,1.234075042
Botswana,BWA,-5.717682557,26.77334829,28.90879305,3.290933483
Central African Republic,CAF,4.33712103,4.098500696,15.53093382,0.183395774
Canada,CAN,0.659176864,11.80837908,20.26656013,3.55390337
Central Europe and the Baltics,CEB,3.947582417,17.24817503,18.15479362,3.609696075
Switzerland,CHE,1.657768711,8.990095853,11.35636927,2.859911358
Chile,CHL,2.1519425,17.04450121,13.22632598,9.081561081
China,CHN,7.041328879,9.678618827,15.81704465,2.559233447
Cameroon,CMR,5.666952991,12.28534381,12.05893304,1.994843156
"Congo, Rep.",COG,-3.550581765,9.584351436,16.74018348,16.13977166
Colombia,COL,2.955901375,15.69974837,14.24375052,4.242505258
Cabo Verde,CPV,1.006863707,17.05275837,18.45179052,9.709658571
Costa Rica,CRI,3.652080968,13.04558896,17.01130325,6.232936611
Cyprus,CYP,3.383079712,24.79036195,16.78699353,223.4283967
Czechia,CZE,5.388380838,14.42965406,19.33226501,3.863539823
Germany,DEU,1.491931528,11.4825632,19.58902519,0.501101724
Denmark,DNK,2.342591108,36.50029166,25.78565204,1.863305283
Dominican Republic,DOM,6.927018772,13.38644704,10.47128994,3.550614845
East Asia & Pacific (excluding high income),EAP,6.688953121,10.18700574,15.15184918,2.578373718
Early-demographic dividend,EAR,4.461597158,12.0902963,13.95208678,1.766164042
East Asia & Pacific,EAS,4.717236514,11.7983938,16.26911142,2.861648029
Europe & Central Asia (excluding high income),ECA,0.905347821,15.13754273,16.11065063,1.644881312
Europe & Central Asia,ECS,2.118214779,19.62693354,19.90640448,2.469672754
"Egypt, Arab Rep.",EGY,4.372019078,12.22014085,11.84976526,1.509250423
Euro area,EMU,2.062522189,19.59039614,21.12280501,2.848890885
Estonia,EST,1.853020046,20.74737186,18.73089419,6.689355477
Ethiopia,ETH,10.39246302,8.811955393,9.249591844,3.335691111
European Union,EUU,2.310707917,20.10084584,21.18341654,2.759250165
Finland,FIN,0.543659212,20.63152197,24.50736357,6.377217393
Fiji,FJI,4.50120041,22.64375609,19.93608968,7.779951266
France,FRA,1.112912341,23.16141532,24.12589283,0.203254563
Gabon,GAB,3.878899395,15.10522888,14.84946913,6.938646821
United Kingdom,GBR,2.622596679,24.69786724,19.76551065,1.907589447
Georgia,GEO,3.02220738,22.47686673,14.27162318,10.42082421
Ghana,GHA,2.120759338,11.25218582,8.267793265,6.139493623
Equatorial Guinea,GNQ,-9.110041149,8.298900808,15.88594502,0.771291881
Greece,GRC,-0.19608763,24.86966867,20.5865958,1.145570641
Guatemala,GTM,4.092170816,10.77781592,11.25538493,2.433011043
High income,HIC,2.367795928,15.3589733,17.94059896,2.45657294
Honduras,HND,3.840079971,16.54263824,15.33231155,8.629014199
Heavily indebted poor countries (HIPC),HPC,4.641261107,11.47961953,12.2185283,4.119145801
Croatia,HRV,2.52568842,19.7062425,21.8428721,5.464426497
Hungary,HUN,3.703259936,23.01105704,19.98809272,9.257299856
IBRD only,IBD,4.440135009,11.84473665,15.29373395,2.374527837
IDA & IBRD total,IBT,4.353921914,11.83724667,14.95498446,2.368591476
Indonesia,IDN,4.8763223,10.83552375,9.425025719,2.819972605
IDA only,IDX,2.78191794,10.64781449,11.3719584,3.357806725
India,IND,7.996253786,9.984654191,10.44085681,1.695658786
Ireland,IRL,25.17624519,23.13846236,16.3755193,37.60373441
Iraq,IRQ,4.722864019,0.914773293,18.00263662,-4.455211245
Iceland,ISL,4.436663719,24.49195998,24.12390602,4.291415023
Israel,ISR,2.279679419,23.1036362,22.5549826,1.945328342
Italy,ITA,0.778304351,24.84107219,19.53901351,0.787819995
Jamaica,JAM,0.921487125,24.05321483,14.51828389,4.188352814
Jordan,JOR,2.496528793,15.43164403,18.22120457,5.912048902
Kazakhstan,KAZ,1.2,14.19343274,10.68967628,3.300631727
Kenya,KEN,4.967721128,15.18702127,11.74249459,1.202208917
Kyrgyz Republic,KGZ,3.875825448,17.54865309,17.47333377,4.593013721
Cambodia,KHM,6.965797814,14.62663089,5.493939062,11.09689482
Kiribati,KIR,9.865124154,17.92559406,70.89128474,1.47987757
"Korea, Rep.",KOR,2.809103268,13.24116166,15.22522234,0.624771688
Latin America & Caribbean (excluding high income),LAC,0.416733059,12.92858462,16.37308115,2.922190756
Lebanon,LBN,0.462320792,14.10956588,12.74596541,5.951755286
Latin America & Caribbean,LCN,0.536441748,13.24445137,15.95161705,3.811418502
Least developed countries: UN classification,LDC,2.464251558,11.00510701,12.35059606,3.011762838
Sri Lanka,LKA,5.007683305,10.13750624,8.378020285,1.126094958
Lower middle income,LMC,5.015991066,11.33448219,11.15019857,1.912755344
Low & middle income,LMY,4.397510138,11.61403623,14.96706757,2.290223564
Lesotho,LSO,3.127557724,36.32843245,38.83812127,3.869602691
Late-demographic dividend,LTE,4.678413224,11.51447209,16.27232325,3.426346164
Lithuania,LTU,2.024583955,15.83633785,16.61376488,0.736237941
Luxembourg,LUX,2.269784484,24.74515711,16.05145356,29.1553937
Latvia,LVA,3.885027277,22.04827185,17.97443744,3.329756103
"Macao SAR, China",MAC,-21.51441131,35.0873753,7.098030631,4.415476735
Morocco,MAR,4.536378168,22.02695111,19.91655284,3.202529638
Moldova,MDA,-0.338235559,16.63749482,14.3717285,3.637147881
Madagascar,MDG,3.132298073,8.441133382,15.80000246,2.977511274
Mexico,MEX,3.293151528,10.62560505,12.19496198,2.178802032
Marshall Islands,MHL,1.613921462,16.19254673,52.04652613,4.967358072
Middle income,MIC,4.48092147,11.61807264,14.99342024,2.271470061
North Macedonia,MKD,3.85586514,16.23528371,17.11233798,0.535807548
Mali,MLI,6.171800024,12.64664005,16.25652969,1.00393639
Malta,MLT,9.608132811,25.99328633,18.51165716,1.340744499
Myanmar,MMR,3.277279417,6.179052939,19.99922673,3.437949846
Mongolia,MNG,2.379835807,12.90163424,13.0170101,2.762588323
Mozambique,MOZ,6.72327878,24.32001414,26.47069067,28.21615286
Malaysia,MYS,5.091532422,14.84079071,13.32874807,3.141267795
North America,NAC,2.541510234,11.00790307,15.14777792,1.632132034
Namibia,NAM,4.264174538,34.6286881,27.72688884,3.583171208
Nicaragua,NIC,4.792056766,15.31626638,14.27969248,9.063641897
Netherlands,NLD,1.959169721,20.63642861,25.68124963,13.18443374
Norway,NOR,1.967128438,23.56828516,21.86773875,0.650516595
Nepal,NPL,3.976053274,13.99491049,8.001141444,0.133746295
New Zealand,NZL,3.744332198,26.85372316,18.77323114,1.615174167
OECD members,OED,2.449634771,15.6009049,17.81235262,1.904938085
Panama,PAN,5.73269035,10.26003358,10.0413721,9.984482747
Peru,PER,3.252244772,16.72092668,12.40209038,2.122996747
Philippines,PHL,6.348309717,13.01551718,10.56117268,1.929377227
Poland,POL,4.23632685,15.61752737,18.31498021,3.645499531
Portugal,PRT,1.792046046,22.64739907,18.39846456,5.239541431
Paraguay,PRY,2.957151735,9.74517638,11.54884576,2.038287669
